"segment_id","all_count","non_srl_count","food_count","drink_count","wrapper_count","bottle_count","can_count","LSOA","Loc","unique_ID","segment_distance","land_use","LSOA_Name","Region","imd_score","income_score","employment_score","education_score","health_score","crime_score","housing_score","environment_score","imd_quintile","urban_rural"
"22238",5,3,1,1,0,0,0,"E01028641","Loc_005","1657958921916",26.3,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22239",13,11,1,2,1,0,2,"E01028641","Loc_005","1657958921942",234.8,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22244",1,1,0,0,0,0,0,"E01028641","Loc_012","1657961100288",123.4,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22245",1,1,0,0,0,0,0,"E01028641","Loc_012","1657961100310",148.5,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22246",2,0,0,0,0,0,0,"E01028641","Loc_013","1657961841184",107.6,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22247",1,1,0,0,0,0,0,"E01028641","Loc_013","1657961841219",100.1,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22248",8,8,2,4,2,0,4,"E01028641","Loc_015","1657962417675",111.8,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22249",21,16,4,9,4,3,2,"E01028641","Loc_015","1657962417697",123.1,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22250",10,9,1,7,1,1,1,"E01028641","Loc_014","1657963340889",65.6,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22251",36,32,4,21,3,5,5,"E01028641","Loc_014","1657963340909",27.1,"Rural roads","South Oxfordshire 006D","South East (England)",8.5,0.04,0.036,7.748,-1.158,-0.315,36.296,8.086,1,"Rural village and dispersed"
"22589",7,6,3,3,3,1,0,"E01028496","Loc_001","1658047314937",51.8,"Rural roads","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22590",6,6,0,3,0,0,0,"E01028496","Loc_001","1658047314963",50.5,"Rural roads","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22591",1,1,0,0,0,0,0,"E01028496","Loc_002","1658047641935",53.2,"Medium Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22592",2,2,0,2,0,0,0,"E01028496","Loc_002","1658047641969",51.8,"Medium Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22593",4,2,1,0,1,0,0,"E01028496","Loc_003","1658047983938",51.6,"Other retail commercial areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22594",9,4,0,1,0,0,0,"E01028496","Loc_003","1658047983961",54.5,"Other retail commercial areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22595",2,2,0,0,0,0,0,"E01028496","Loc_004","1658048544583",54.8,"Medium Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22598",6,3,0,2,0,1,0,"E01028496","Loc_005","1658048946985",53.7,"Medium Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22599",8,1,0,1,0,1,0,"E01028496","Loc_006","1658049306536",55.1,"Low Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22600",5,1,0,0,0,0,0,"E01028496","Loc_006","1658049306571",51.3,"Low Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22602",3,1,0,1,0,0,0,"E01028496","Loc_007","1658049620493",53.8,"Medium Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22604",8,0,0,0,0,0,0,"E01028496","Loc_008","1658050045724",51.9,"Medium Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22605",6,4,0,1,0,0,0,"E01028496","Loc_009","1658050704837",51.1,"Rural roads","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22606",16,1,0,0,0,0,0,"E01028496","Loc_009","1658050704858",53.2,"Rural roads","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22607",2,2,1,1,1,0,0,"E01028496","Loc_012","1658051229812",58.3,"Rural roads","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22608",35,33,5,16,3,8,0,"E01028496","Loc_012","1658051229845",54.1,"Rural roads","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22609",8,0,0,0,0,0,0,"E01028496","Loc_014","1658051799241",55.2,"Medium Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22610",54,4,1,1,0,0,0,"E01028496","Loc_014","1658051799263",52,"Medium Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22612",6,0,0,0,0,0,0,"E01028496","Loc_011","1658054484526",54.5,"Medium Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22614",2,2,0,1,0,0,1,"E01028496","Loc_010","1658054957326",55.9,"Low Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22615",6,4,0,3,0,0,0,"E01028496","Loc_010","1658054957346",58.8,"Low Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22616",4,3,1,0,1,0,0,"E01028496","Loc_013","1658055232844",57.2,"Low Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22617",4,0,0,0,0,0,0,"E01028496","Loc_013","1658055232862",57.6,"Low Obstruction housing areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"22619",8,5,1,3,1,0,3,"E01028496","Loc_015","1658055643316",57.2,"Other retail commercial areas","Cherwell 018D","South East (England)",12.921,0.074,0.073,21.462,-0.243,-0.65,17.332,19.831,2,"Urban city and town"
"23037",13,9,2,1,2,0,0,"E01013105","Loc_015","1658305859596",55.2,"Medium Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23047",34,31,1,0,1,0,0,"E01013105","Loc_002","1658306688323",104.8,"Medium Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23050",22,13,1,0,1,0,0,"E01013105","Loc_002","1658307061738",104.8,"Medium Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23063",31,19,3,1,3,0,1,"E01013105","Loc_001","1658307919376",93.2,"Medium Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23066",18,7,2,2,2,0,2,"E01013105","Loc_001","1658308254330",112.6,"Medium Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23074",19,12,2,2,2,0,0,"E01013105","Loc_004","1658308650515",99.9,"Medium Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23078",15,6,3,1,3,0,0,"E01013105","Loc_004","1658309077790",80.3,"Medium Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23085",13,8,2,1,2,0,0,"E01013105","Loc_009","1658309677120",95.4,"Low Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23089",23,11,1,1,1,0,0,"E01013105","Loc_009","1658309963478",97.7,"Low Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23093",14,7,5,1,3,0,0,"E01013105","Loc_005","1658310286562",96.4,"Low Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23098",2,1,0,0,0,0,0,"E01013105","Loc_005","1658310521508",81.9,"Low Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23099",11,11,1,0,1,0,0,"E01013105","Loc_010","1658310857759",90.3,"Low Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23100",15,11,2,2,2,0,0,"E01013105","Loc_010","1658311089754",87.3,"Low Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23103",2,2,0,1,0,0,1,"E01013105","Loc_006","1658311822353",55.8,"Low Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23104",5,3,0,0,0,0,0,"E01013105","Loc_006","1658311953078",55.9,"Low Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23105",21,7,1,3,1,0,0,"E01013105","Loc_008","1658312274542",57.3,"Industry warehousing retail sheds & science parks","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23106",12,5,2,1,2,0,0,"E01013105","Loc_008","1658312510497",56.8,"Industry warehousing retail sheds & science parks","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23107",12,1,0,0,0,0,0,"E01013105","Loc_014","1658313157400",55.4,"Medium Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23108",6,2,0,2,0,0,0,"E01013105","Loc_014","1658313337779",67.7,"Medium Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23111",22,14,6,6,4,1,1,"E01013105","Loc_012","1658314049684",58.2,"Recreation areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23112",24,23,7,6,5,1,0,"E01013105","Loc_012","1658314281493",54.7,"Recreation areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23115",19,11,4,3,3,0,1,"E01013105","Loc_007","1658314889490",54.5,"Medium Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23119",40,20,8,4,8,0,0,"E01013105","Loc_007","1658315114748",58.9,"Medium Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23122",10,5,0,2,0,0,0,"E01013105","Loc_003","1658316192518",54.6,"Low Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23124",6,3,0,1,0,0,0,"E01013105","Loc_003","1658316367436",52.4,"Low Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23127",13,10,1,1,1,0,0,"E01013105","Loc_011","1658316900311",52.5,"Medium Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23130",20,12,3,3,2,0,1,"E01013105","Loc_011","1658317102360",50.2,"Medium Obstruction housing areas","East Riding of Yorkshire 027A","Yorkshire and The Humber",15.441,0.114,0.095,16.181,-0.297,-0.014,13.951,15.647,3,"Urban city and town"
"23232",11,7,1,3,1,0,0,"E01013192","Loc_006","1658402566809",55.5,"Low Obstruction housing areas","North East Lincolnshire 021D","Yorkshire and The Humber",30.733,0.232,0.176,28.294,0.66,-0.153,8.11,20.911,4,"Urban city and town"
"23233",35,7,1,1,1,0,0,"E01013192","Loc_006","1658402566826",58.2,"Low Obstruction housing areas","North East Lincolnshire 021D","Yorkshire and The Humber",30.733,0.232,0.176,28.294,0.66,-0.153,8.11,20.911,4,"Urban city and town"
"23235",27,13,4,2,3,1,0,"E01013192","Loc_012","1658402566857",55.1,"Medium Obstruction housing areas","North East Lincolnshire 021D","Yorkshire and The Humber",30.733,0.232,0.176,28.294,0.66,-0.153,8.11,20.911,4,"Urban city and town"
"23236",7,3,0,0,0,0,0,"E01013192","Loc_012","1658402566875",47.1,"Medium Obstruction housing areas","North East Lincolnshire 021D","Yorkshire and The Humber",30.733,0.232,0.176,28.294,0.66,-0.153,8.11,20.911,4,"Urban city and town"
"23240",20,12,4,2,4,0,2,"E01024261","Loc_001","1658405192558",32,"Rural roads","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23241",23,18,4,5,3,2,1,"E01024261","Loc_001","1658405192577",64,"Rural roads","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23242",7,4,0,1,0,0,1,"E01024261","Loc_010","1658405192591",69,"Low Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23243",30,27,5,7,5,1,1,"E01024261","Loc_010","1658405192606",82,"Low Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23244",15,14,1,1,1,0,0,"E01024261","Loc_002","1658405192622",78,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23245",8,5,0,1,0,0,0,"E01024261","Loc_002","1658405192636",100,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23246",10,7,0,2,0,2,0,"E01024261","Loc_005","1658405192651",103,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23247",15,11,4,2,4,0,0,"E01024261","Loc_005","1658405192666",67,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23248",16,12,0,5,0,1,1,"E01024261","Loc_004","1658405192680",74,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23249",19,12,1,5,0,0,2,"E01024261","Loc_004","1658405192696",60,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23250",5,3,0,2,0,0,1,"E01024261","Loc_007","1658405192710",60,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23251",7,6,0,3,0,1,1,"E01024261","Loc_007","1658405192724",59,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23252",57,34,4,13,2,3,1,"E01024261","Loc_012","1658405192738",30,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23253",21,16,1,3,1,0,0,"E01024261","Loc_012","1658405192752",53,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23254",32,14,2,6,1,0,2,"E01024261","Loc_003","1658405192766",70,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23255",28,10,0,4,0,0,0,"E01024261","Loc_003","1658405192781",72,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23256",8,7,1,2,1,0,2,"E01024261","Loc_006","1658405192795",62,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23257",14,10,2,5,2,2,0,"E01024261","Loc_006","1658405192808",57,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23258",9,2,0,0,0,0,0,"E01024261","Loc_014","1658405192823",67,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23259",15,11,2,5,2,0,1,"E01024261","Loc_014","1658405192836",47,"Medium Obstruction housing areas","Gravesham 003B","South East (England)",11.142,0.044,0.046,16.416,-0.936,0.813,24.038,9.475,2,"Urban major conurbation"
"23295",70,47,7,15,5,1,1,"E01017257","Loc_001","1658413969318",113.9,"Medium Obstruction housing areas","Southampton 026B","South East (England)",31.276,0.126,0.12,25.17,0.492,0.564,22.078,66.811,4,"Urban city and town"
"23296",60,28,3,11,3,2,0,"E01017257","Loc_001","1658414408203",123.6,"Medium Obstruction housing areas","Southampton 026B","South East (England)",31.276,0.126,0.12,25.17,0.492,0.564,22.078,66.811,4,"Urban city and town"
"23301",29,28,8,8,8,1,4,"E01017257","Loc_011","1658418137493",121.9,"Low Obstruction housing areas","Southampton 026B","South East (England)",31.276,0.126,0.12,25.17,0.492,0.564,22.078,66.811,4,"Urban city and town"
"23302",12,9,1,4,1,2,0,"E01017257","Loc_011","1658418381156",121.4,"Low Obstruction housing areas","Southampton 026B","South East (England)",31.276,0.126,0.12,25.17,0.492,0.564,22.078,66.811,4,"Urban city and town"
"23303",8,4,0,0,0,0,0,"E01017257","Loc_002","1658419740612",98,"Low Obstruction housing areas","Southampton 026B","South East (England)",31.276,0.126,0.12,25.17,0.492,0.564,22.078,66.811,4,"Urban city and town"
"23304",60,36,8,7,7,1,0,"E01017257","Loc_002","1658420122196",34.8,"Low Obstruction housing areas","Southampton 026B","South East (England)",31.276,0.126,0.12,25.17,0.492,0.564,22.078,66.811,4,"Urban city and town"
"23305",52,16,1,5,1,0,1,"E01017257","Loc_003","1658421120738",115.5,"Medium Obstruction housing areas","Southampton 026B","South East (England)",31.276,0.126,0.12,25.17,0.492,0.564,22.078,66.811,4,"Urban city and town"
"23306",41,24,0,11,0,1,4,"E01017257","Loc_003","1658421356743",104.6,"Medium Obstruction housing areas","Southampton 026B","South East (England)",31.276,0.126,0.12,25.17,0.492,0.564,22.078,66.811,4,"Urban city and town"
"23307",39,15,1,7,0,0,0,"E01017257","Loc_005","1658422093734",123.1,"Low Obstruction housing areas","Southampton 026B","South East (England)",31.276,0.126,0.12,25.17,0.492,0.564,22.078,66.811,4,"Urban city and town"
"23308",11,8,1,0,1,0,0,"E01017257","Loc_005","1658422262904",104.5,"Low Obstruction housing areas","Southampton 026B","South East (England)",31.276,0.126,0.12,25.17,0.492,0.564,22.078,66.811,4,"Urban city and town"
"23309",14,10,1,2,1,0,1,"E01017257","Loc_007","1658422562570",115.4,"High Obstruction housing areas","Southampton 026B","South East (England)",31.276,0.126,0.12,25.17,0.492,0.564,22.078,66.811,4,"Urban city and town"
"23310",24,16,3,6,3,1,1,"E01017257","Loc_007","1658422818681",109.8,"High Obstruction housing areas","Southampton 026B","South East (England)",31.276,0.126,0.12,25.17,0.492,0.564,22.078,66.811,4,"Urban city and town"
"23315",3,3,0,0,0,0,0,"E01005441","Loc_008","1658484911645",61.4,"Low Obstruction housing areas","Oldham 002A","North West (England)",40,0.218,0.206,27.584,1.089,1.323,23,14.223,5,"Urban major conurbation"
"23316",2,0,0,0,0,0,0,"E01005441","Loc_008","1658485014999",52.3,"Low Obstruction housing areas","Oldham 002A","North West (England)",40,0.218,0.206,27.584,1.089,1.323,23,14.223,5,"Urban major conurbation"
"23317",16,10,3,3,3,0,0,"E01005441","Loc_001","1658485394850",57.5,"Medium Obstruction housing areas","Oldham 002A","North West (England)",40,0.218,0.206,27.584,1.089,1.323,23,14.223,5,"Urban major conurbation"
"23318",7,3,1,1,1,0,1,"E01005441","Loc_001","1658485545222",55.3,"Medium Obstruction housing areas","Oldham 002A","North West (England)",40,0.218,0.206,27.584,1.089,1.323,23,14.223,5,"Urban major conurbation"
"23319",12,8,2,1,2,0,0,"E01005441","Loc_007","1658485836289",55.5,"Medium Obstruction housing areas","Oldham 002A","North West (England)",40,0.218,0.206,27.584,1.089,1.323,23,14.223,5,"Urban major conurbation"
"23320",16,10,2,1,1,0,0,"E01005441","Loc_007","1658486006346",67.2,"Medium Obstruction housing areas","Oldham 002A","North West (England)",40,0.218,0.206,27.584,1.089,1.323,23,14.223,5,"Urban major conurbation"
"23321",14,11,4,1,4,1,0,"E01005441","Loc_005","1658486449473",55.2,"Other highways","Oldham 002A","North West (England)",40,0.218,0.206,27.584,1.089,1.323,23,14.223,5,"Urban major conurbation"
"23322",3,2,0,1,0,0,0,"E01005441","Loc_005","1658486564437",54.5,"Other highways","Oldham 002A","North West (England)",40,0.218,0.206,27.584,1.089,1.323,23,14.223,5,"Urban major conurbation"
"23323",12,11,3,1,2,0,1,"E01005441","Loc_013","1658487109471",50.1,"Other highways","Oldham 002A","North West (England)",40,0.218,0.206,27.584,1.089,1.323,23,14.223,5,"Urban major conurbation"
"23324",13,12,3,5,3,1,2,"E01005441","Loc_013","1658487109491",50.3,"Other highways","Oldham 002A","North West (England)",40,0.218,0.206,27.584,1.089,1.323,23,14.223,5,"Urban major conurbation"
"23325",4,3,1,1,1,1,0,"E01005441","Loc_012","1658487264018",51.6,"Other highways","Oldham 002A","North West (England)",40,0.218,0.206,27.584,1.089,1.323,23,14.223,5,"Urban major conurbation"
